"Column Name","Label"
"B15014_012M","Margin of Error!!Total:!!25 to 39 years:!!Education"
"B15014_012MA","Annotation of Margin of Error!!Total:!!25 to 39 years:!!Education"
"B15014_012EA","Annotation of Estimate!!Total:!!25 to 39 years:!!Education"
"B15014_013E","Estimate!!Total:!!25 to 39 years:!!Arts, Humanities, and Other!!Literature and Languages"
"B15014_013M","Margin of Error!!Total:!!25 to 39 years:!!Arts, Humanities, and Other!!Literature and Languages"
"B15014_013MA","Annotation of Margin of Error!!Total:!!25 to 39 years:!!Arts, Humanities, and Other!!Literature and Languages"
"B15014_013EA","Annotation of Estimate!!Total:!!25 to 39 years:!!Arts, Humanities, and Other!!Literature and Languages"
"B15014_014E","Estimate!!Total:!!25 to 39 years:!!Arts, Humanities, and Other!!Liberal Arts and History"
"B15014_014M","Margin of Error!!Total:!!25 to 39 years:!!Arts, Humanities, and Other!!Liberal Arts and History"
"B15014_014MA","Annotation of Margin of Error!!Total:!!25 to 39 years:!!Arts, Humanities, and Other!!Liberal Arts and History"
"B15014_014EA","Annotation of Estimate!!Total:!!25 to 39 years:!!Arts, Humanities, and Other!!Liberal Arts and History"
"B15014_015E","Estimate!!Total:!!25 to 39 years:!!Arts, Humanities, and Other!!Visual and Performing Arts"
"B15014_015EA","Annotation of Estimate!!Total:!!25 to 39 years:!!Arts, Humanities, and Other!!Visual and Performing Arts"
"B15014_015M","Margin of Error!!Total:!!25 to 39 years:!!Arts, Humanities, and Other!!Visual and Performing Arts"
"B15014_015MA","Annotation of Margin of Error!!Total:!!25 to 39 years:!!Arts, Humanities, and Other!!Visual and Performing Arts"
"B15014_016E","Estimate!!Total:!!25 to 39 years:!!Arts, Humanities, and Other!!Communications"
"B15014_016M","Margin of Error!!Total:!!25 to 39 years:!!Arts, Humanities, and Other!!Communications"
"B15014_016MA","Annotation of Margin of Error!!Total:!!25 to 39 years:!!Arts, Humanities, and Other!!Communications"
"B15014_016EA","Annotation of Estimate!!Total:!!25 to 39 years:!!Arts, Humanities, and Other!!Communications"
"B15014_017E","Estimate!!Total:!!25 to 39 years:!!Arts, Humanities, and Other!!Other"
"B15014_017M","Margin of Error!!Total:!!25 to 39 years:!!Arts, Humanities, and Other!!Other"
"B15014_017MA","Annotation of Margin of Error!!Total:!!25 to 39 years:!!Arts, Humanities, and Other!!Other"
"B15014_017EA","Annotation of Estimate!!Total:!!25 to 39 years:!!Arts, Humanities, and Other!!Other"
"B15014_018E","Estimate!!Total:!!40 to 64 years:"
"B15014_018M","Margin of Error!!Total:!!40 to 64 years:"
"B15014_018MA","Annotation of Margin of Error!!Total:!!40 to 64 years:"
"B15014_018EA","Annotation of Estimate!!Total:!!40 to 64 years:"
"B15014_019E","Estimate!!Total:!!40 to 64 years:!!Science and Engineering!!Computers, Mathematics and Statistics"
"B15014_019EA","Annotation of Estimate!!Total:!!40 to 64 years:!!Science and Engineering!!Computers, Mathematics and Statistics"
"B15014_019M","Margin of Error!!Total:!!40 to 64 years:!!Science and Engineering!!Computers, Mathematics and Statistics"
"B15014_019MA","Annotation of Margin of Error!!Total:!!40 to 64 years:!!Science and Engineering!!Computers, Mathematics and Statistics"
"B15014_020E","Estimate!!Total:!!40 to 64 years:!!Science and Engineering!!Biological, Agricultural, and Environmental Sciences"
"B15014_020EA","Annotation of Estimate!!Total:!!40 to 64 years:!!Science and Engineering!!Biological, Agricultural, and Environmental Sciences"
"B15014_020M","Margin of Error!!Total:!!40 to 64 years:!!Science and Engineering!!Biological, Agricultural, and Environmental Sciences"
"B15014_020MA","Annotation of Margin of Error!!Total:!!40 to 64 years:!!Science and Engineering!!Biological, Agricultural, and Environmental Sciences"
"B15014_021E","Estimate!!Total:!!40 to 64 years:!!Science and Engineering!!Physical and Related Sciences"
"B15014_021M","Margin of Error!!Total:!!40 to 64 years:!!Science and Engineering!!Physical and Related Sciences"
"B15014_021MA","Annotation of Margin of Error!!Total:!!40 to 64 years:!!Science and Engineering!!Physical and Related Sciences"
"B15014_021EA","Annotation of Estimate!!Total:!!40 to 64 years:!!Science and Engineering!!Physical and Related Sciences"
"B15014_022E","Estimate!!Total:!!40 to 64 years:!!Science and Engineering!!Psychology"
"B15014_022M","Margin of Error!!Total:!!40 to 64 years:!!Science and Engineering!!Psychology"
"B15014_022MA","Annotation of Margin of Error!!Total:!!40 to 64 years:!!Science and Engineering!!Psychology"
"B15014_022EA","Annotation of Estimate!!Total:!!40 to 64 years:!!Science and Engineering!!Psychology"
"B15014_023E","Estimate!!Total:!!40 to 64 years:!!Science and Engineering!!Social Sciences"
"B15014_023M","Margin of Error!!Total:!!40 to 64 years:!!Science and Engineering!!Social Sciences"
"B15014_023MA","Annotation of Margin of Error!!Total:!!40 to 64 years:!!Science and Engineering!!Social Sciences"
"B15014_023EA","Annotation of Estimate!!Total:!!40 to 64 years:!!Science and Engineering!!Social Sciences"
"B15014_024E","Estimate!!Total:!!40 to 64 years:!!Science and Engineering!!Engineering"
"B15014_024M","Margin of Error!!Total:!!40 to 64 years:!!Science and Engineering!!Engineering"
"B15014_024MA","Annotation of Margin of Error!!Total:!!40 to 64 years:!!Science and Engineering!!Engineering"
"B15014_024EA","Annotation of Estimate!!Total:!!40 to 64 years:!!Science and Engineering!!Engineering"
"B15014_025E","Estimate!!Total:!!40 to 64 years:!!Science and Engineering!!Multidisciplinary Studies"
"B15014_025M","Margin of Error!!Total:!!40 to 64 years:!!Science and Engineering!!Multidisciplinary Studies"
"B15014_025MA","Annotation of Margin of Error!!Total:!!40 to 64 years:!!Science and Engineering!!Multidisciplinary Studies"
"B15014_025EA","Annotation of Estimate!!Total:!!40 to 64 years:!!Science and Engineering!!Multidisciplinary Studies"
"B15014_026E","Estimate!!Total:!!40 to 64 years:!!Science and Engineering Related Fields"
"B15014_026M","Margin of Error!!Total:!!40 to 64 years:!!Science and Engineering Related Fields"
"B15014_026MA","Annotation of Margin of Error!!Total:!!40 to 64 years:!!Science and Engineering Related Fields"
"B15014_026EA","Annotation of Estimate!!Total:!!40 to 64 years:!!Science and Engineering Related Fields"
"B15014_027E","Estimate!!Total:!!40 to 64 years:!!Business"
"B15014_027M","Margin of Error!!Total:!!40 to 64 years:!!Business"
"B15014_027MA","Annotation of Margin of Error!!Total:!!40 to 64 years:!!Business"
"B15014_027EA","Annotation of Estimate!!Total:!!40 to 64 years:!!Business"
"B15014_028E","Estimate!!Total:!!40 to 64 years:!!Education"
"B15014_028M","Margin of Error!!Total:!!40 to 64 years:!!Education"
"B15014_028MA","Annotation of Margin of Error!!Total:!!40 to 64 years:!!Education"
"B15014_028EA","Annotation of Estimate!!Total:!!40 to 64 years:!!Education"
"B15014_029E","Estimate!!Total:!!40 to 64 years:!!Arts, Humanities, and Other!!Literature and Languages"
"B15014_029EA","Annotation of Estimate!!Total:!!40 to 64 years:!!Arts, Humanities, and Other!!Literature and Languages"
"B15014_029M","Margin of Error!!Total:!!40 to 64 years:!!Arts, Humanities, and Other!!Literature and Languages"
"B15014_029MA","Annotation of Margin of Error!!Total:!!40 to 64 years:!!Arts, Humanities, and Other!!Literature and Languages"
"B15014_030E","Estimate!!Total:!!40 to 64 years:!!Arts, Humanities, and Other!!Liberal Arts and History"
"B15014_030EA","Annotation of Estimate!!Total:!!40 to 64 years:!!Arts, Humanities, and Other!!Liberal Arts and History"
"B15014_030M","Margin of Error!!Total:!!40 to 64 years:!!Arts, Humanities, and Other!!Liberal Arts and History"
"B15014_030MA","Annotation of Margin of Error!!Total:!!40 to 64 years:!!Arts, Humanities, and Other!!Liberal Arts and History"
"B15014_031E","Estimate!!Total:!!40 to 64 years:!!Arts, Humanities, and Other!!Visual and Performing Arts"
"B15014_031M","Margin of Error!!Total:!!40 to 64 years:!!Arts, Humanities, and Other!!Visual and Performing Arts"
"B15014_031MA","Annotation of Margin of Error!!Total:!!40 to 64 years:!!Arts, Humanities, and Other!!Visual and Performing Arts"
"B15014_031EA","Annotation of Estimate!!Total:!!40 to 64 years:!!Arts, Humanities, and Other!!Visual and Performing Arts"
"B15014_032E","Estimate!!Total:!!40 to 64 years:!!Arts, Humanities, and Other!!Communications"
"B15014_032M","Margin of Error!!Total:!!40 to 64 years:!!Arts, Humanities, and Other!!Communications"
"B15014_032MA","Annotation of Margin of Error!!Total:!!40 to 64 years:!!Arts, Humanities, and Other!!Communications"
"B15014_032EA","Annotation of Estimate!!Total:!!40 to 64 years:!!Arts, Humanities, and Other!!Communications"
"B15014_033E","Estimate!!Total:!!40 to 64 years:!!Arts, Humanities, and Other!!Other"
"B15014_033M","Margin of Error!!Total:!!40 to 64 years:!!Arts, Humanities, and Other!!Other"
"B15014_033MA","Annotation of Margin of Error!!Total:!!40 to 64 years:!!Arts, Humanities, and Other!!Other"
"B15014_033EA","Annotation of Estimate!!Total:!!40 to 64 years:!!Arts, Humanities, and Other!!Other"
