degree_age_range,state,degree,age_range,estimate,margin_of_error
25_to_39_years_Physical_and_Related_Sciences,Alaska,Physical_and_Related_Sciences,25_to_39_years,67957,15293
25_to_39_years_Psychology,Alaska,Psychology,25_to_39_years,70578,7386
25_to_39_years_Social_Sciences,Alaska,Social_Sciences,25_to_39_years,64250,36444
25_to_39_years_Engineering,Alaska,Engineering,25_to_39_years,92910,25823
25_to_39_years_Multidisciplinary_Studies,Alaska,Multidisciplinary_Studies,25_to_39_years,71236,36262
25_to_39_years_Science_and_Engineering_Related_Fields,Alaska,Science_and_Engineering_Related_Fields,25_to_39_years,62289,13284
25_to_39_years_Business,Alaska,Business,25_to_39_years,73420,15267
25_to_39_years_Education,Alaska,Education,25_to_39_years,63555,11865
25_to_39_years_Literature_and_Languages,Alaska,Literature_and_Languages,25_to_39_years,59733,14625
25_to_39_years_Liberal_Arts_and_History,Alaska,Liberal_Arts_and_History,25_to_39_years,63558,20098
25_to_39_years_Visual_and_Performing_Arts,Alaska,Visual_and_Performing_Arts,25_to_39_years,38038,15687
25_to_39_years_Communications,Alaska,Communications,25_to_39_years,56281,16123
25_to_39_years_Other,Alaska,Other,25_to_39_years,62025,14819
40_to_64_years_40_to_64_years,Alaska,40_to_64_years,40_to_64_years,87147,4102
40_to_64_years_Computers_Mathematics_and_Statistics,Alaska,Computers_Mathematics_and_Statistics,40_to_64_years,124397,110344
40_to_64_years_Biological_Agricultural_and_Environmental_Sciences,Alaska,Biological_Agricultural_and_Environmental_Sciences,40_to_64_years,94307,14420
40_to_64_years_Physical_and_Related_Sciences,Alaska,Physical_and_Related_Sciences,40_to_64_years,109046,52013
40_to_64_years_Psychology,Alaska,Psychology,40_to_64_years,98380,22999
40_to_64_years_Social_Sciences,Alaska,Social_Sciences,40_to_64_years,86453,6452
40_to_64_years_Engineering,Alaska,Engineering,40_to_64_years,117857,24608
40_to_64_years_Multidisciplinary_Studies,Alaska,Multidisciplinary_Studies,40_to_64_years,64972,64190
40_to_64_years_Science_and_Engineering_Related_Fields,Alaska,Science_and_Engineering_Related_Fields,40_to_64_years,86509,10824
40_to_64_years_Business,Alaska,Business,40_to_64_years,96877,9919
40_to_64_years_Education,Alaska,Education,40_to_64_years,76609,6901
40_to_64_years_Literature_and_Languages,Alaska,Literature_and_Languages,40_to_64_years,67159,12785
40_to_64_years_Liberal_Arts_and_History,Alaska,Liberal_Arts_and_History,40_to_64_years,85326,19676
40_to_64_years_Visual_and_Performing_Arts,Alaska,Visual_and_Performing_Arts,40_to_64_years,73177,24145
40_to_64_years_Communications,Alaska,Communications,40_to_64_years,74711,19791
40_to_64_years_Other,Alaska,Other,40_to_64_years,100095,17191
Total,Arizona,Total,Total,69316,1264
25_to_39_years_25_to_39_years,Arizona,25_to_39_years,25_to_39_years,60743,802
25_to_39_years_Computers_Mathematics_and_Statistics,Arizona,Computers_Mathematics_and_Statistics,25_to_39_years,82391,6307
25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,Arizona,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,54925,5378
25_to_39_years_Physical_and_Related_Sciences,Arizona,Physical_and_Related_Sciences,25_to_39_years,62316,9343
25_to_39_years_Psychology,Arizona,Psychology,25_to_39_years,53281,3091
25_to_39_years_Social_Sciences,Arizona,Social_Sciences,25_to_39_years,59144,5642
25_to_39_years_Engineering,Arizona,Engineering,25_to_39_years,86615,4397
25_to_39_years_Multidisciplinary_Studies,Arizona,Multidisciplinary_Studies,25_to_39_years,54175,7580
25_to_39_years_Science_and_Engineering_Related_Fields,Arizona,Science_and_Engineering_Related_Fields,25_to_39_years,62915,2123
25_to_39_years_Business,Arizona,Business,25_to_39_years,66060,1771
25_to_39_years_Education,Arizona,Education,25_to_39_years,51036,1451
25_to_39_years_Literature_and_Languages,Arizona,Literature_and_Languages,25_to_39_years,52459,5485
25_to_39_years_Liberal_Arts_and_History,Arizona,Liberal_Arts_and_History,25_to_39_years,56760,8183
25_to_39_years_Visual_and_Performing_Arts,Arizona,Visual_and_Performing_Arts,25_to_39_years,47658,6892
25_to_39_years_Communications,Arizona,Communications,25_to_39_years,55536,7543
25_to_39_years_Other,Arizona,Other,25_to_39_years,56087,2853
40_to_64_years_40_to_64_years,Arizona,40_to_64_years,40_to_64_years,80644,1405
40_to_64_years_Computers_Mathematics_and_Statistics,Arizona,Computers_Mathematics_and_Statistics,40_to_64_years,117225,7550
40_to_64_years_Biological_Agricultural_and_Environmental_Sciences,Arizona,Biological_Agricultural_and_Environmental_Sciences,40_to_64_years,93501,8614
40_to_64_years_Physical_and_Related_Sciences,Arizona,Physical_and_Related_Sciences,40_to_64_years,93739,15529
40_to_64_years_Psychology,Arizona,Psychology,40_to_64_years,67604,5834
40_to_64_years_Social_Sciences,Arizona,Social_Sciences,40_to_64_years,82172,7785
40_to_64_years_Engineering,Arizona,Engineering,40_to_64_years,120834,4991
40_to_64_years_Multidisciplinary_Studies,Arizona,Multidisciplinary_Studies,40_to_64_years,73327,13125
40_to_64_years_Science_and_Engineering_Related_Fields,Arizona,Science_and_Engineering_Related_Fields,40_to_64_years,83798,2848
40_to_64_years_Business,Arizona,Business,40_to_64_years,86946,2992
40_to_64_years_Education,Arizona,Education,40_to_64_years,54937,1878
40_to_64_years_Literature_and_Languages,Arizona,Literature_and_Languages,40_to_64_years,64934,7639
40_to_64_years_Liberal_Arts_and_History,Arizona,Liberal_Arts_and_History,40_to_64_years,64986,6569
40_to_64_years_Visual_and_Performing_Arts,Arizona,Visual_and_Performing_Arts,40_to_64_years,60163,7524
40_to_64_years_Communications,Arizona,Communications,40_to_64_years,71927,12720
40_to_64_years_Other,Arizona,Other,40_to_64_years,69160,3705
Total,Arkansas,Total,Total,60923,1150
25_to_39_years_25_to_39_years,Arkansas,25_to_39_years,25_to_39_years,52604,1616
25_to_39_years_Computers_Mathematics_and_Statistics,Arkansas,Computers_Mathematics_and_Statistics,25_to_39_years,93027,29551
25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,Arkansas,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,57000,5330
25_to_39_years_Physical_and_Related_Sciences,Arkansas,Physical_and_Related_Sciences,25_to_39_years,61495,15767
25_to_39_years_Psychology,Arkansas,Psychology,25_to_39_years,42749,8863
25_to_39_years_Social_Sciences,Arkansas,Social_Sciences,25_to_39_years,49192,4181
25_to_39_years_Engineering,Arkansas,Engineering,25_to_39_years,72789,17201
25_to_39_years_Multidisciplinary_Studies,Arkansas,Multidisciplinary_Studies,25_to_39_years,50461,14143
25_to_39_years_Science_and_Engineering_Related_Fields,Arkansas,Science_and_Engineering_Related_Fields,25_to_39_years,61354,2049
25_to_39_years_Business,Arkansas,Business,25_to_39_years,59681,3489
25_to_39_years_Education,Arkansas,Education,25_to_39_years,46818,2582
25_to_39_years_Literature_and_Languages,Arkansas,Literature_and_Languages,25_to_39_years,50121,11570
25_to_39_years_Liberal_Arts_and_History,Arkansas,Liberal_Arts_and_History,25_to_39_years,42657,6293
25_to_39_years_Visual_and_Performing_Arts,Arkansas,Visual_and_Performing_Arts,25_to_39_years,43675,6740
25_to_39_years_Communications,Arkansas,Communications,25_to_39_years,45923,2843
25_to_39_years_Other,Arkansas,Other,25_to_39_years,45047,2636
40_to_64_years_40_to_64_years,Arkansas,40_to_64_years,40_to_64_years,69933,2415
40_to_64_years_Computers_Mathematics_and_Statistics,Arkansas,Computers_Mathematics_and_Statistics,40_to_64_years,89702,24986
40_to_64_years_Biological_Agricultural_and_Environmental_Sciences,Arkansas,Biological_Agricultural_and_Environmental_Sciences,40_to_64_years,85770,16812
40_to_64_years_Physical_and_Related_Sciences,Arkansas,Physical_and_Related_Sciences,40_to_64_years,72046,15556
40_to_64_years_Psychology,Arkansas,Psychology,40_to_64_years,55728,6149
40_to_64_years_Social_Sciences,Arkansas,Social_Sciences,40_to_64_years,81793,3812
40_to_64_years_Engineering,Arkansas,Engineering,40_to_64_years,104738,15524
40_to_64_years_Multidisciplinary_Studies,Arkansas,Multidisciplinary_Studies,40_to_64_years,76776,33928
40_to_64_years_Science_and_Engineering_Related_Fields,Arkansas,Science_and_Engineering_Related_Fields,40_to_64_years,79754,4407
40_to_64_years_Business,Arkansas,Business,40_to_64_years,77926,4062
40_to_64_years_Education,Arkansas,Education,40_to_64_years,54877,2811
40_to_64_years_Literature_and_Languages,Arkansas,Literature_and_Languages,40_to_64_years,63482,8005
40_to_64_years_Liberal_Arts_and_History,Arkansas,Liberal_Arts_and_History,40_to_64_years,55118,8394
40_to_64_years_Visual_and_Performing_Arts,Arkansas,Visual_and_Performing_Arts,40_to_64_years,43452,10355
40_to_64_years_Communications,Arkansas,Communications,40_to_64_years,61903,7969
40_to_64_years_Other,Arkansas,Other,40_to_64_years,61912,6654
Total,California,Total,Total,87531,714
25_to_39_years_25_to_39_years,California,25_to_39_years,25_to_39_years,76005,652
25_to_39_years_Computers_Mathematics_and_Statistics,California,Computers_Mathematics_and_Statistics,25_to_39_years,106581,3074
25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,California,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,74495,1749
25_to_39_years_Physical_and_Related_Sciences,California,Physical_and_Related_Sciences,25_to_39_years,80828,5352
25_to_39_years_Psychology,California,Psychology,25_to_39_years,63246,1776
25_to_39_years_Social_Sciences,California,Social_Sciences,25_to_39_years,75405,1999
25_to_39_years_Engineering,California,Engineering,25_to_39_years,116465,3760
25_to_39_years_Multidisciplinary_Studies,California,Multidisciplinary_Studies,25_to_39_years,74142,4052
25_to_39_years_Science_and_Engineering_Related_Fields,California,Science_and_Engineering_Related_Fields,25_to_39_years,80368,1890
25_to_39_years_Business,California,Business,25_to_39_years,78489,2271
25_to_39_years_Education,California,Education,25_to_39_years,55837,2839
25_to_39_years_Literature_and_Languages,California,Literature_and_Languages,25_to_39_years,63706,2175
25_to_39_years_Liberal_Arts_and_History,California,Liberal_Arts_and_History,25_to_39_years,63722,1947
25_to_39_years_Visual_and_Performing_Arts,California,Visual_and_Performing_Arts,25_to_39_years,58721,3211
25_to_39_years_Communications,California,Communications,25_to_39_years,70378,2530
25_to_39_years_Other,California,Other,25_to_39_years,60909,1119
40_to_64_years_40_to_64_years,California,40_to_64_years,40_to_64_years,101321,427
40_to_64_years_Computers_Mathematics_and_Statistics,California,Computers_Mathematics_and_Statistics,40_to_64_years,129979,5080
40_to_64_years_Biological_Agricultural_and_Environmental_Sciences,California,Biological_Agricultural_and_Environmental_Sciences,40_to_64_years,116952,4767
40_to_64_years_Physical_and_Related_Sciences,California,Physical_and_Related_Sciences,40_to_64_years,123363,3630
40_to_64_years_Psychology,California,Psychology,40_to_64_years,88363,3896
40_to_64_years_Social_Sciences,California,Social_Sciences,40_to_64_years,102271,1489
40_to_64_years_Engineering,California,Engineering,40_to_64_years,151269,2155
40_to_64_years_Multidisciplinary_Studies,California,Multidisciplinary_Studies,40_to_64_years,95903,10422
40_to_64_years_Science_and_Engineering_Related_Fields,California,Science_and_Engineering_Related_Fields,40_to_64_years,104359,1840
40_to_64_years_Business,California,Business,40_to_64_years,97828,2847
40_to_64_years_Education,California,Education,40_to_64_years,78393,4163
40_to_64_years_Literature_and_Languages,California,Literature_and_Languages,40_to_64_years,87539,3478
40_to_64_years_Liberal_Arts_and_History,California,Liberal_Arts_and_History,40_to_64_years,90663,3388
40_to_64_years_Visual_and_Performing_Arts,California,Visual_and_Performing_Arts,40_to_64_years,71882,2357
40_to_64_years_Communications,California,Communications,40_to_64_years,88498,3890
40_to_64_years_Other,California,Other,40_to_64_years,85601,2476
Total,Colorado,Total,Total,76397,956
25_to_39_years_25_to_39_years,Colorado,25_to_39_years,25_to_39_years,67009,1019
25_to_39_years_Computers_Mathematics_and_Statistics,Colorado,Computers_Mathematics_and_Statistics,25_to_39_years,90114,9397
25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,Colorado,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,59924,2755
25_to_39_years_Physical_and_Related_Sciences,Colorado,Physical_and_Related_Sciences,25_to_39_years,67253,5175
25_to_39_years_Psychology,Colorado,Psychology,25_to_39_years,54295,2802
25_to_39_years_Social_Sciences,Colorado,Social_Sciences,25_to_39_years,73201,5375
25_to_39_years_Engineering,Colorado,Engineering,25_to_39_years,93554,2985
25_to_39_years_Multidisciplinary_Studies,Colorado,Multidisciplinary_Studies,25_to_39_years,58763,6444
25_to_39_years_Science_and_Engineering_Related_Fields,Colorado,Science_and_Engineering_Related_Fields,25_to_39_years,67357,3244
25_to_39_years_Business,Colorado,Business,25_to_39_years,80460,2566
25_to_39_years_Education,Colorado,Education,25_to_39_years,48184,3741
25_to_39_years_Literature_and_Languages,Colorado,Literature_and_Languages,25_to_39_years,51585,3992
25_to_39_years_Liberal_Arts_and_History,Colorado,Liberal_Arts_and_History,25_to_39_years,62406,4753
25_to_39_years_Visual_and_Performing_Arts,Colorado,Visual_and_Performing_Arts,25_to_39_years,51710,3552
25_to_39_years_Communications,Colorado,Communications,25_to_39_years,63735,2369
25_to_39_years_Other,Colorado,Other,25_to_39_years,62558,3110
40_to_64_years_40_to_64_years,Colorado,40_to_64_years,40_to_64_years,87199,1493
40_to_64_years_Computers_Mathematics_and_Statistics,Colorado,Computers_Mathematics_and_Statistics,40_to_64_years,110380,8724
40_to_64_years_Biological_Agricultural_and_Environmental_Sciences,Colorado,Biological_Agricultural_and_Environmental_Sciences,40_to_64_years,90590,6071
40_to_64_years_Physical_and_Related_Sciences,Colorado,Physical_and_Related_Sciences,40_to_64_years,101280,9952
40_to_64_years_Psychology,Colorado,Psychology,40_to_64_years,74786,4554
40_to_64_years_Social_Sciences,Colorado,Social_Sciences,40_to_64_years,84790,4943
40_to_64_years_Engineering,Colorado,Engineering,40_to_64_years,130810,5160
40_to_64_years_Multidisciplinary_Studies,Colorado,Multidisciplinary_Studies,40_to_64_years,77683,26625
40_to_64_years_Science_and_Engineering_Related_Fields,Colorado,Science_and_Engineering_Related_Fields,40_to_64_years,86948,7104
40_to_64_years_Business,Colorado,Business,40_to_64_years,96432,5097
40_to_64_years_Education,Colorado,Education,40_to_64_years,61720,4178
40_to_64_years_Literature_and_Languages,Colorado,Literature_and_Languages,40_to_64_years,70394,4054
40_to_64_years_Liberal_Arts_and_History,Colorado,Liberal_Arts_and_History,40_to_64_years,77303,7757
40_to_64_years_Visual_and_Performing_Arts,Colorado,Visual_and_Performing_Arts,40_to_64_years,51384,3789
40_to_64_years_Communications,Colorado,Communications,40_to_64_years,80622,5180
40_to_64_years_Other,Colorado,Other,40_to_64_years,74509,3793
Total,Connecticut,Total,Total,84028,1759
25_to_39_years_25_to_39_years,Connecticut,25_to_39_years,25_to_39_years,71512,1495
25_to_39_years_Computers_Mathematics_and_Statistics,Connecticut,Computers_Mathematics_and_Statistics,25_to_39_years,80949,4758
25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,Connecticut,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,75037,6454
25_to_39_years_Physical_and_Related_Sciences,Connecticut,Physical_and_Related_Sciences,25_to_39_years,69743,16109
25_to_39_years_Psychology,Connecticut,Psychology,25_to_39_years,61932,5896
25_to_39_years_Social_Sciences,Connecticut,Social_Sciences,25_to_39_years,67955,3817
25_to_39_years_Engineering,Connecticut,Engineering,25_to_39_years,94186,4177
25_to_39_years_Multidisciplinary_Studies,Connecticut,Multidisciplinary_Studies,25_to_39_years,71408,5944
25_to_39_years_Science_and_Engineering_Related_Fields,Connecticut,Science_and_Engineering_Related_Fields,25_to_39_years,71259,4355
25_to_39_years_Business,Connecticut,Business,25_to_39_years,80851,2671
25_to_39_years_Education,Connecticut,Education,25_to_39_years,63127,3586
25_to_39_years_Literature_and_Languages,Connecticut,Literature_and_Languages,25_to_39_years,58192,6757
25_to_39_years_Liberal_Arts_and_History,Connecticut,Liberal_Arts_and_History,25_to_39_years,66632,7338
25_to_39_years_Visual_and_Performing_Arts,Connecticut,Visual_and_Performing_Arts,25_to_39_years,54400,8283
25_to_39_years_Communications,Connecticut,Communications,25_to_39_years,70716,9711
25_to_39_years_Other,Connecticut,Other,25_to_39_years,64746,3692
40_to_64_years_40_to_64_years,Connecticut,40_to_64_years,40_to_64_years,98064,2240
40_to_64_years_Computers_Mathematics_and_Statistics,Connecticut,Computers_Mathematics_and_Statistics,40_to_64_years,128024,12898
40_to_64_years_Biological_Agricultural_and_Environmental_Sciences,Connecticut,Biological_Agricultural_and_Environmental_Sciences,40_to_64_years,104142,4894
40_to_64_years_Physical_and_Related_Sciences,Connecticut,Physical_and_Related_Sciences,40_to_64_years,113223,18408
40_to_64_years_Psychology,Connecticut,Psychology,40_to_64_years,89325,8625
40_to_64_years_Social_Sciences,Connecticut,Social_Sciences,40_to_64_years,110741,14733
40_to_64_years_Engineering,Connecticut,Engineering,40_to_64_years,128907,8689
40_to_64_years_Multidisciplinary_Studies,Connecticut,Multidisciplinary_Studies,40_to_64_years,101982,43742
40_to_64_years_Science_and_Engineering_Related_Fields,Connecticut,Science_and_Engineering_Related_Fields,40_to_64_years,93671,5254
40_to_64_years_Business,Connecticut,Business,40_to_64_years,104699,2734
40_to_64_years_Education,Connecticut,Education,40_to_64_years,80080,4578
40_to_64_years_Literature_and_Languages,Connecticut,Literature_and_Languages,40_to_64_years,78191,7927
40_to_64_years_Liberal_Arts_and_History,Connecticut,Liberal_Arts_and_History,40_to_64_years,103036,10324
40_to_64_years_Visual_and_Performing_Arts,Connecticut,Visual_and_Performing_Arts,40_to_64_years,68587,6990
40_to_64_years_Communications,Connecticut,Communications,40_to_64_years,99504,6351
40_to_64_years_Other,Connecticut,Other,40_to_64_years,72042,3508
Total,Delaware,Total,Total,72374,3165
25_to_39_years_25_to_39_years,Delaware,25_to_39_years,25_to_39_years,65284,3873
25_to_39_years_Computers_Mathematics_and_Statistics,Delaware,Computers_Mathematics_and_Statistics,25_to_39_years,45437,11551
25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,Delaware,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,70784,16578
25_to_39_years_Physical_and_Related_Sciences,Delaware,Physical_and_Related_Sciences,25_to_39_years,70041,8013
25_to_39_years_Psychology,Delaware,Psychology,25_to_39_years,66239,15059
25_to_39_years_Social_Sciences,Delaware,Social_Sciences,25_to_39_years,53167,6474
25_to_39_years_Engineering,Delaware,Engineering,25_to_39_years,87564,7518
25_to_39_years_Multidisciplinary_Studies,Delaware,Multidisciplinary_Studies,25_to_39_years,59192,8611
25_to_39_years_Science_and_Engineering_Related_Fields,Delaware,Science_and_Engineering_Related_Fields,25_to_39_years,75410,5866
25_to_39_years_Business,Delaware,Business,25_to_39_years,77211,9570
25_to_39_years_Education,Delaware,Education,25_to_39_years,60253,4334
25_to_39_years_Literature_and_Languages,Delaware,Literature_and_Languages,25_to_39_years,55543,19155
25_to_39_years_Liberal_Arts_and_History,Delaware,Liberal_Arts_and_History,25_to_39_years,75703,20553
25_to_39_years_Visual_and_Performing_Arts,Delaware,Visual_and_Performing_Arts,25_to_39_years,40318,15038
25_to_39_years_Communications,Delaware,Communications,25_to_39_years,36346,1917
25_to_39_years_Other,Delaware,Other,25_to_39_years,58868,4555
40_to_64_years_40_to_64_years,Delaware,40_to_64_years,40_to_64_years,81181,4376
40_to_64_years_Computers_Mathematics_and_Statistics,Delaware,Computers_Mathematics_and_Statistics,40_to_64_years,82813,14697
40_to_64_years_Biological_Agricultural_and_Environmental_Sciences,Delaware,Biological_Agricultural_and_Environmental_Sciences,40_to_64_years,125887,23492
40_to_64_years_Physical_and_Related_Sciences,Delaware,Physical_and_Related_Sciences,40_to_64_years,120261,35792
40_to_64_years_Psychology,Delaware,Psychology,40_to_64_years,90667,8926
40_to_64_years_Social_Sciences,Delaware,Social_Sciences,40_to_64_years,98194,29403
40_to_64_years_Engineering,Delaware,Engineering,40_to_64_years,122360,10523
40_to_64_years_Multidisciplinary_Studies,Delaware,Multidisciplinary_Studies,40_to_64_years,42356,7813
40_to_64_years_Science_and_Engineering_Related_Fields,Delaware,Science_and_Engineering_Related_Fields,40_to_64_years,82406,12997
40_to_64_years_Business,Delaware,Business,40_to_64_years,79513,11198
40_to_64_years_Education,Delaware,Education,40_to_64_years,72930,10858
40_to_64_years_Literature_and_Languages,Delaware,Literature_and_Languages,40_to_64_years,65679,25132
40_to_64_years_Liberal_Arts_and_History,Delaware,Liberal_Arts_and_History,40_to_64_years,69045,15100
40_to_64_years_Visual_and_Performing_Arts,Delaware,Visual_and_Performing_Arts,40_to_64_years,67586,35521
40_to_64_years_Communications,Delaware,Communications,40_to_64_years,83490,18378
40_to_64_years_Other,Delaware,Other,40_to_64_years,66667,4143
Total,District_of_Columbia,Total,Total,100828,2301
25_to_39_years_25_to_39_years,District_of_Columbia,25_to_39_years,25_to_39_years,89341,3087
25_to_39_years_Computers_Mathematics_and_Statistics,District_of_Columbia,Computers_Mathematics_and_Statistics,25_to_39_years,104594,12476
25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,District_of_Columbia,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,93784,13206
25_to_39_years_Physical_and_Related_Sciences,District_of_Columbia,Physical_and_Related_Sciences,25_to_39_years,80874,22033
25_to_39_years_Psychology,District_of_Columbia,Psychology,25_to_39_years,71834,8180
25_to_39_years_Social_Sciences,District_of_Columbia,Social_Sciences,25_to_39_years,94380,4210
25_to_39_years_Engineering,District_of_Columbia,Engineering,25_to_39_years,112447,18322
25_to_39_years_Multidisciplinary_Studies,District_of_Columbia,Multidisciplinary_Studies,25_to_39_years,82696,17197
25_to_39_years_Science_and_Engineering_Related_Fields,District_of_Columbia,Science_and_Engineering_Related_Fields,25_to_39_years,77615,10618
25_to_39_years_Business,District_of_Columbia,Business,25_to_39_years,102628,18373
25_to_39_years_Education,District_of_Columbia,Education,25_to_39_years,70485,4469
25_to_39_years_Literature_and_Languages,District_of_Columbia,Literature_and_Languages,25_to_39_years,86784,5515
25_to_39_years_Liberal_Arts_and_History,District_of_Columbia,Liberal_Arts_and_History,25_to_39_years,97090,12481
25_to_39_years_Visual_and_Performing_Arts,District_of_Columbia,Visual_and_Performing_Arts,25_to_39_years,73475,11050
25_to_39_years_Communications,District_of_Columbia,Communications,25_to_39_years,77293,10092
25_to_39_years_Other,District_of_Columbia,Other,25_to_39_years,76995,2818
40_to_64_years_40_to_64_years,District_of_Columbia,40_to_64_years,40_to_64_years,132269,6728
40_to_64_years_Computers_Mathematics_and_Statistics,District_of_Columbia,Computers_Mathematics_and_Statistics,40_to_64_years,142406,31100
40_to_64_years_Biological_Agricultural_and_Environmental_Sciences,District_of_Columbia,Biological_Agricultural_and_Environmental_Sciences,40_to_64_years,135595,21840
40_to_64_years_Physical_and_Related_Sciences,District_of_Columbia,Physical_and_Related_Sciences,40_to_64_years,177198,17277
40_to_64_years_Psychology,District_of_Columbia,Psychology,40_to_64_years,125269,40486
40_to_64_years_Social_Sciences,District_of_Columbia,Social_Sciences,40_to_64_years,150633,12429
40_to_64_years_Engineering,District_of_Columbia,Engineering,40_to_64_years,156367,7999
40_to_64_years_Multidisciplinary_Studies,District_of_Columbia,Multidisciplinary_Studies,40_to_64_years,113079,95542
40_to_64_years_Science_and_Engineering_Related_Fields,District_of_Columbia,Science_and_Engineering_Related_Fields,40_to_64_years,112641,22577
40_to_64_years_Business,District_of_Columbia,Business,40_to_64_years,124417,16372
40_to_64_years_Education,District_of_Columbia,Education,40_to_64_years,109663,20555
40_to_64_years_Literature_and_Languages,District_of_Columbia,Literature_and_Languages,40_to_64_years,116930,23422
40_to_64_years_Liberal_Arts_and_History,District_of_Columbia,Liberal_Arts_and_History,40_to_64_years,133868,5141
40_to_64_years_Visual_and_Performing_Arts,District_of_Columbia,Visual_and_Performing_Arts,40_to_64_years,91267,20360
40_to_64_years_Communications,District_of_Columbia,Communications,40_to_64_years,101822,21773
40_to_64_years_Other,District_of_Columbia,Other,40_to_64_years,130018,47246
Total,Florida,Total,Total,63276,516
25_to_39_years_25_to_39_years,Florida,25_to_39_years,25_to_39_years,56340,1126
25_to_39_years_Computers_Mathematics_and_Statistics,Florida,Computers_Mathematics_and_Statistics,25_to_39_years,69246,4673
