State,Education,Age,Median Salary,Gross Salary,Profitability Age vs. HS no grad,Profitability Age vs. HS,Baseline
Delaware,Bachelor's in Visual and Performing Arts,22,40318,5437.827906,62.2209359,409.8798636,0
Delaware,HS did not graduate,39,34578,829872,,,1
Delaware,HS graduate,39,39820,876040,,,1
Delaware,Associate Degree,39,44530,870864.7134,,,1
Delaware,All Majors Combined,39,65284,1140231.828,,,0
Delaware,Bachelor's in Biological Agricultural and Environmental Sciences,39,70784,1239231.828,,,0
Delaware,Bachelor's in Business,39,77211,1354917.828,,,0
Delaware,Bachelor's in Communications,39,36346,619347.8279,,,0
Delaware,Bachelor's in Computers Mathematics and Statistics,39,45437,782985.8279,,,0
Delaware,Bachelor's in Education,39,60253,1049673.828,,,0
Delaware,Bachelor's in Engineering,39,87564,1541271.828,,,0
Delaware,Bachelor's in Liberal Arts and History,39,75703,1327773.828,,,0
Delaware,Bachelor's in Literature and Languages,39,55543,964893.8279,,,0
Delaware,Bachelor's in Multidisciplinary Studies,39,59192,1030575.828,,,0
Delaware,Bachelor's in Other,39,58868,1024743.828,,,0
Delaware,Bachelor's in Physical and Related Sciences,39,70041,1225857.828,,,0
Delaware,Bachelor's in Psychology,39,66239,1157421.828,,,0
Delaware,Bachelor's in Science and Engineering Related Fields,39,75410,1322499.828,,,0
Delaware,Bachelor's in Social Sciences,39,53167,922125.8279,,,0
Delaware,Bachelor's in Visual and Performing Arts,39,40318,690843.8279,,,0
District_of_Columbia,HS did not graduate,16,26970,26970,,20.63840399,1
District_of_Columbia,HS graduate,18,38599,38599,20.63840399,,1
District_of_Columbia,Associate Degree,20,48566,31107.16061,23.80379882,27.49702412,1
District_of_Columbia,All Majors Combined,22,89341,54840.06213,23.14763172,23.72269398,0
District_of_Columbia,Bachelor's in Biological Agricultural and Environmental Sciences,22,93784,59283.06213,22.93832038,23.42297613,0
District_of_Columbia,Bachelor's in Business,22,102628,68127.06213,22.59484705,22.95017785,0
District_of_Columbia,Bachelor's in Communications,22,77293,42792.06213,23.9012169,24.8818147,0
District_of_Columbia,Bachelor's in Computers Mathematics and Statistics,22,104594,70093.06213,22.52912679,22.86229166,0
District_of_Columbia,Bachelor's in Education,22,70485,35984.06213,24.51156929,25.92413404,0
District_of_Columbia,Bachelor's in Engineering,22,112447,77946.06213,22.29676916,22.55791542,0
District_of_Columbia,Bachelor's in Liberal Arts and History,22,97090,62589.06213,22.79978519,23.22950433,0
District_of_Columbia,Bachelor's in Literature and Languages,22,86784,52283.06213,23.28219042,23.9202436,0
District_of_Columbia,Bachelor's in Multidisciplinary Studies,22,82696,48195.06213,23.52296841,24.28366868,0
District_of_Columbia,Bachelor's in Other,22,76995,42494.06213,23.92445653,24.91970356,0
District_of_Columbia,Bachelor's in Physical and Related Sciences,22,80874,46373.06213,23.64204767,24.46828948,0
District_of_Columbia,Bachelor's in Psychology,22,71834,37333.06213,24.37591249,25.68367498,0
District_of_Columbia,Bachelor's in Science and Engineering Related Fields,22,77615,43114.06213,23.87641303,24.84152496,0
District_of_Columbia,Bachelor's in Social Sciences,22,94380,59879.06213,22.91234146,23.38640286,0
District_of_Columbia,Bachelor's in Visual and Performing Arts,22,73475,38974.06213,24.22150173,25.41624435,0
District_of_Columbia,HS did not graduate,39,26970,647280,,,1
District_of_Columbia,HS graduate,39,38599,849178,,,1
District_of_Columbia,Associate Degree,39,48566,953861.1606,,,1
District_of_Columbia,All Majors Combined,39,89341,1573637.062,,,0
District_of_Columbia,Bachelor's in Biological Agricultural and Environmental Sciences,39,93784,1653611.062,,,0
District_of_Columbia,Bachelor's in Business,39,102628,1812803.062,,,0
District_of_Columbia,Bachelor's in Communications,39,77293,1356773.062,,,0
District_of_Columbia,Bachelor's in Computers Mathematics and Statistics,39,104594,1848191.062,,,0
District_of_Columbia,Bachelor's in Education,39,70485,1234229.062,,,0
District_of_Columbia,Bachelor's in Engineering,39,112447,1989545.062,,,0
District_of_Columbia,Bachelor's in Liberal Arts and History,39,97090,1713119.062,,,0
District_of_Columbia,Bachelor's in Literature and Languages,39,86784,1527611.062,,,0
District_of_Columbia,Bachelor's in Multidisciplinary Studies,39,82696,1454027.062,,,0
District_of_Columbia,Bachelor's in Other,39,76995,1351409.062,,,0
District_of_Columbia,Bachelor's in Physical and Related Sciences,39,80874,1421231.062,,,0
District_of_Columbia,Bachelor's in Psychology,39,71834,1258511.062,,,0
District_of_Columbia,Bachelor's in Science and Engineering Related Fields,39,77615,1362569.062,,,0
District_of_Columbia,Bachelor's in Social Sciences,39,94380,1664339.062,,,0
District_of_Columbia,Bachelor's in Visual and Performing Arts,39,73475,1288049.062,,,0
Florida,HS did not graduate,16,28063,28063,,24.36951983,1
Florida,HS graduate,18,34769,34769,24.36951983,,1
Florida,Associate Degree,20,41565,21458.86609,27.80285394,31.19072012,1
Florida,All Majors Combined,22,56340,20524.15353,27.22119908,28.10773012,0
Florida,Bachelor's in Biological Agricultural and Environmental Sciences,22,60461,24645.15353,26.30266827,26.8072492,0
Florida,Bachelor's in Business,22,64042,28226.15353,25.67536192,25.97451052,0
Florida,Bachelor's in Communications,22,50589,14773.15353,29.06480718,31.0551104,0
Florida,Bachelor's in Computers Mathematics and Statistics,22,69246,33430.15353,24.95820718,25.07271069,0
Florida,Bachelor's in Education,22,49144,13328.15353,29.68615561,32.16638932,0
Florida,Bachelor's in Engineering,22,74965,39149.15353,24.3536277,24.35097638,0
Florida,Bachelor's in Liberal Arts and History,22,50296,14480.15353,29.18426872,31.26372425,0
Florida,Bachelor's in Literature and Languages,22,49076,13260.15353,29.7175009,32.22421517,0
Florida,Bachelor's in Multidisciplinary Studies,22,47287,11471.15353,30.6218189,33.97122915,0
Florida,Bachelor's in Other,22,52219,16403.15353,28.45313158,30.02245538,0
Florida,Bachelor's in Physical and Related Sciences,22,55710,19894.15353,27.38575059,28.35164732,0
Florida,Bachelor's in Psychology,22,49606,13790.15353,29.47843135,31.78754778,0
Florida,Bachelor's in Science and Engineering Related Fields,22,61423,25607.15353,26.12091866,26.56156098,0
