"VariableName","Value","ValueLabel"
"FIPS state code (HD2020)","1","Alabama"
"FIPS state code (HD2020)","2","Alaska"
"FIPS state code (HD2020)","4","Arizona"
"FIPS state code (HD2020)","5","Arkansas"
"FIPS state code (HD2020)","6","California"
"FIPS state code (HD2020)","8","Colorado"
"FIPS state code (HD2020)","9","Connecticut"
"FIPS state code (HD2020)","10","Delaware"
"FIPS state code (HD2020)","11","District of Columbia"
"FIPS state code (HD2020)","12","Florida"
"FIPS state code (HD2020)","13","Georgia"
"FIPS state code (HD2020)","15","Hawaii"
"FIPS state code (HD2020)","16","Idaho"
"FIPS state code (HD2020)","17","Illinois"
"FIPS state code (HD2020)","18","Indiana"
"FIPS state code (HD2020)","19","Iowa"
"FIPS state code (HD2020)","20","Kansas"
"FIPS state code (HD2020)","21","Kentucky"
"FIPS state code (HD2020)","22","Louisiana"
"FIPS state code (HD2020)","23","Maine"
"FIPS state code (HD2020)","24","Maryland"
"FIPS state code (HD2020)","25","Massachusetts"
"FIPS state code (HD2020)","26","Michigan"
"FIPS state code (HD2020)","27","Minnesota"
"FIPS state code (HD2020)","28","Mississippi"
"FIPS state code (HD2020)","29","Missouri"
"FIPS state code (HD2020)","30","Montana"
"FIPS state code (HD2020)","31","Nebraska"
"FIPS state code (HD2020)","32","Nevada"
"FIPS state code (HD2020)","33","New Hampshire"
"FIPS state code (HD2020)","34","New Jersey"
"FIPS state code (HD2020)","35","New Mexico"
"FIPS state code (HD2020)","36","New York"
"FIPS state code (HD2020)","37","North Carolina"
"FIPS state code (HD2020)","38","North Dakota"
"FIPS state code (HD2020)","39","Ohio"
"FIPS state code (HD2020)","40","Oklahoma"
"FIPS state code (HD2020)","41","Oregon"
"FIPS state code (HD2020)","42","Pennsylvania"
"FIPS state code (HD2020)","44","Rhode Island"
"FIPS state code (HD2020)","45","South Carolina"
"FIPS state code (HD2020)","46","South Dakota"
"FIPS state code (HD2020)","47","Tennessee"
"FIPS state code (HD2020)","48","Texas"
"FIPS state code (HD2020)","49","Utah"
"FIPS state code (HD2020)","50","Vermont"
"FIPS state code (HD2020)","51","Virginia"
"FIPS state code (HD2020)","53","Washington"
"FIPS state code (HD2020)","54","West Virginia"
"FIPS state code (HD2020)","55","Wisconsin"
"FIPS state code (HD2020)","56","Wyoming"
"FIPS state code (HD2020)","60","American Samoa"
"FIPS state code (HD2020)","64","Federated States of Micronesia"
"FIPS state code (HD2020)","66","Guam"
"FIPS state code (HD2020)","68","Marshall Islands"
"FIPS state code (HD2020)","69","Northern Marianas"
"FIPS state code (HD2020)","70","Palau"
"FIPS state code (HD2020)","72","Puerto Rico"
"FIPS state code (HD2020)","78","Virgin Islands"
"Bureau of Economic Analysis (BEA) regions (HD2020)","0","U.S. Service schools"
"Bureau of Economic Analysis (BEA) regions (HD2020)","1","New England (CT, ME, MA, NH, RI, VT)"
"Bureau of Economic Analysis (BEA) regions (HD2020)","2","Mid East (DE, DC, MD, NJ, NY, PA)"
"Bureau of Economic Analysis (BEA) regions (HD2020)","3","Great Lakes (IL, IN, MI, OH, WI)"
"Bureau of Economic Analysis (BEA) regions (HD2020)","4","Plains (IA, KS, MN, MO, NE, ND, SD)"
"Bureau of Economic Analysis (BEA) regions (HD2020)","5","Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
"Bureau of Economic Analysis (BEA) regions (HD2020)","6","Southwest (AZ, NM, OK, TX)"
"Bureau of Economic Analysis (BEA) regions (HD2020)","7","Rocky Mountains (CO, ID, MT, UT, WY)"
"Bureau of Economic Analysis (BEA) regions (HD2020)","8","Far West (AK, CA, HI, NV, OR, WA)"
"Bureau of Economic Analysis (BEA) regions (HD2020)","9","Other U.S. jurisdictions (AS, FM, GU, MH, MP, PR, PW, VI)"
"Sector of institution (HD2020)","0","Administrative Unit"
"Sector of institution (HD2020)","1","Public, 4-year or above"
"Sector of institution (HD2020)","2","Private not-for-profit, 4-year or above"
"Sector of institution (HD2020)","3","Private for-profit, 4-year or above"
"Sector of institution (HD2020)","4","Public, 2-year"
"Sector of institution (HD2020)","5","Private not-for-profit, 2-year"
"Sector of institution (HD2020)","6","Private for-profit, 2-year"
"Sector of institution (HD2020)","7","Public, less-than 2-year"
"Sector of institution (HD2020)","8","Private not-for-profit, less-than 2-year"
"Sector of institution (HD2020)","9","Private for-profit, less-than 2-year"
"Level of institution (HD2020)","1","Four or more years"
"Level of institution (HD2020)","2","At least 2 but less than 4 years"
"Level of institution (HD2020)","3","Less than 2 years (below associate)"
"Control of institution (HD2020)","1","Public"
"Control of institution (HD2020)","2","Private not-for-profit"
"Control of institution (HD2020)","3","Private for-profit"
"Highest degree offered (HD2020)","11","Doctor's degree - research/scholarship and professional practice"
"Highest degree offered (HD2020)","12","Doctor's degree - research/scholarship"
"Highest degree offered (HD2020)","13","Doctor's degree -  professional practice"
"Highest degree offered (HD2020)","14","Doctor's degree - other"
"Highest degree offered (HD2020)","20","Master's degree"
"Highest degree offered (HD2020)","30","Bachelor's degree"
"Highest degree offered (HD2020)","40","Associate's degree"
"Highest degree offered (HD2020)","0","Non-degree granting"
"Degree-granting status (HD2020)","1","Degree-granting"
"Degree-granting status (HD2020)","2","Nondegree-granting, primarily postsecondary"
"Historically Black College or University (HD2020)","1","Yes"
"Historically Black College or University (HD2020)","2","No"
"Tribal college (HD2020)","1","Yes"
"Tribal college (HD2020)","2","No"
"Carnegie Classification 2000 (HD2020)","15","Doctoral/Research Universities--Extensive"
"Carnegie Classification 2000 (HD2020)","16","Doctoral/Research Universities--Intensive"
"Carnegie Classification 2000 (HD2020)","21","Masters Colleges and Universities I"
"Carnegie Classification 2000 (HD2020)","22","Masters Colleges and Universities II"
"Carnegie Classification 2000 (HD2020)","31","Baccalaureate Colleges--Liberal Arts"
"Carnegie Classification 2000 (HD2020)","32","Baccalaureate Colleges--General"
"Carnegie Classification 2000 (HD2020)","33","Baccalaureate/Associates Colleges"
"Carnegie Classification 2000 (HD2020)","40","Associates Colleges"
"Carnegie Classification 2000 (HD2020)","51","Theological seminaries and other specialized faith-related institutions"
"Carnegie Classification 2000 (HD2020)","52","Medical schools and medical centers"
"Carnegie Classification 2000 (HD2020)","53","Other separate health profession schools"
"Carnegie Classification 2000 (HD2020)","54","Schools of engineering and technology"
"Carnegie Classification 2000 (HD2020)","55","Schools of business and management"
"Carnegie Classification 2000 (HD2020)","56","Schools of art, music, and design"
"Carnegie Classification 2000 (HD2020)","57","Schools of law"
"Carnegie Classification 2000 (HD2020)","58","Teachers colleges"
"Carnegie Classification 2000 (HD2020)","59","Other specialized institutions"
"Carnegie Classification 2000 (HD2020)","60","Tribal colleges"
"Carnegie Classification 2000 (HD2020)","-2","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)"
"Degree of urbanization (Urban-centric locale) (HD2020)","11","City: Large"
"Degree of urbanization (Urban-centric locale) (HD2020)","12","City: Midsize"
"Degree of urbanization (Urban-centric locale) (HD2020)","13","City: Small"
"Degree of urbanization (Urban-centric locale) (HD2020)","21","Suburb: Large"
"Degree of urbanization (Urban-centric locale) (HD2020)","22","Suburb: Midsize"
"Degree of urbanization (Urban-centric locale) (HD2020)","23","Suburb: Small"
"Degree of urbanization (Urban-centric locale) (HD2020)","31","Town: Fringe"
"Degree of urbanization (Urban-centric locale) (HD2020)","32","Town: Distant"
"Degree of urbanization (Urban-centric locale) (HD2020)","33","Town: Remote"
"Degree of urbanization (Urban-centric locale) (HD2020)","41","Rural: Fringe"
"Degree of urbanization (Urban-centric locale) (HD2020)","42","Rural: Distant"
"Degree of urbanization (Urban-centric locale) (HD2020)","43","Rural: Remote"
"Degree of urbanization (Urban-centric locale) (HD2020)","-3","{Not available}"
"Postsecondary and Title IV institution indicator (HD2020)","1","Title IV postsecondary institution"
"Postsecondary and Title IV institution indicator (HD2020)","2","Non-Title IV postsecondary institution
"
"Postsecondary and Title IV institution indicator (HD2020)","3","Title IV NOT primarily postsecondary institution
"
"Postsecondary and Title IV institution indicator (HD2020)","6","Non-Title IV postsecondary institution that is NOT open to the public
"
"Postsecondary and Title IV institution indicator (HD2020)","9","Institution is not active in current universe
"
"Institutional category (HD2020)","1","Degree-granting, graduate with no undergraduate degrees"
"Institutional category (HD2020)","2","Degree-granting, primarily baccalaureate or above"
"Institutional category (HD2020)","3","Degree-granting, not primarily baccalaureate or above"
"Institutional category (HD2020)","4","Degree-granting, associate's and certificates 
"
"Institutional category (HD2020)","5","Nondegree-granting, above the baccalaureate"
"Institutional category (HD2020)","6","Nondegree-granting, sub-baccalaureate"
"Institutional category (HD2020)","-1","Not reported"
"Institutional category (HD2020)","-2","Not applicable"
"Carnegie Classification 2005/2010: Basic (HD2020)","1","Associate's--Public Rural-serving Small"
"Carnegie Classification 2005/2010: Basic (HD2020)","2","Associate's--Public Rural-serving Medium"
"Carnegie Classification 2005/2010: Basic (HD2020)","3","Associate's--Public Rural-serving Large"
"Carnegie Classification 2005/2010: Basic (HD2020)","4","Associate's--Public Suburban-serving Single Campus"
"Carnegie Classification 2005/2010: Basic (HD2020)","5","Associate's--Public Suburban-serving Multicampus"
"Carnegie Classification 2005/2010: Basic (HD2020)","6","Associate's--Public Urban-serving Single Campus"
"Carnegie Classification 2005/2010: Basic (HD2020)","7","Associate's--Public Urban-serving Multicampus"
"Carnegie Classification 2005/2010: Basic (HD2020)","8","Associate's--Public Special Use"
"Carnegie Classification 2005/2010: Basic (HD2020)","9","Associate's--Private Not-for-profit"
"Carnegie Classification 2005/2010: Basic (HD2020)","10","Associate's--Private For-profit"
"Carnegie Classification 2005/2010: Basic (HD2020)","11","Associate's--Public 2-year colleges under 4-year universities"
"Carnegie Classification 2005/2010: Basic (HD2020)","12","Associate's--Public 4-year Primarily Associate's"
"Carnegie Classification 2005/2010: Basic (HD2020)","13","Associate's--Private Not-for-profit 4-year Primarily Associate's"
"Carnegie Classification 2005/2010: Basic (HD2020)","14","Associate's--Private For-profit 4-year Primarily Associate's"
"Carnegie Classification 2005/2010: Basic (HD2020)","15","Research Universities (very high research activity)"
"Carnegie Classification 2005/2010: Basic (HD2020)","16","Research Universities (high research activity)"
"Carnegie Classification 2005/2010: Basic (HD2020)","17","Doctoral/Research Universities"
"Carnegie Classification 2005/2010: Basic (HD2020)","18","Master's Colleges and Universities (larger programs)"
"Carnegie Classification 2005/2010: Basic (HD2020)","19","Master's Colleges and Universities (medium programs)"
"Carnegie Classification 2005/2010: Basic (HD2020)","20","Master's Colleges and Universities (smaller programs)"
"Carnegie Classification 2005/2010: Basic (HD2020)","21","Baccalaureate Colleges--Arts & Sciences"
"Carnegie Classification 2005/2010: Basic (HD2020)","22","Baccalaureate Colleges--Diverse Fields"
"Carnegie Classification 2005/2010: Basic (HD2020)","23","Baccalaureate/Associate's Colleges"
"Carnegie Classification 2005/2010: Basic (HD2020)","24","Theological seminaries, Bible colleges, and other faith-related institutions"
"Carnegie Classification 2005/2010: Basic (HD2020)","25","Medical schools and medical centers"
"Carnegie Classification 2005/2010: Basic (HD2020)","26","Other health professions schools"
"Carnegie Classification 2005/2010: Basic (HD2020)","27","Schools of engineering"
"Carnegie Classification 2005/2010: Basic (HD2020)","28","Other technology-related schools"
"Carnegie Classification 2005/2010: Basic (HD2020)","29","Schools of business and management"
"Carnegie Classification 2005/2010: Basic (HD2020)","30","Schools of art, music, and design"
"Carnegie Classification 2005/2010: Basic (HD2020)","31","Schools of law"
"Carnegie Classification 2005/2010: Basic (HD2020)","32","Other special-focus institutions"
"Carnegie Classification 2005/2010: Basic (HD2020)","33","Tribal Colleges"
"Carnegie Classification 2005/2010: Basic (HD2020)","-2","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)"
"Land Grant Institution (HD2020)","1","Land Grant Institution"
"Land Grant Institution (HD2020)","2","Not a Land Grant Institution"
"Data Feedback Report comparison group created by NCES (HD2020)","93","Doctoral Universities: Highest Research Activity, Public/1 of 3"
"Data Feedback Report comparison group created by NCES (HD2020)","94","Doctoral Universities: Highest Research Activity, Public/2 of 3"
"Data Feedback Report comparison group created by NCES (HD2020)","95","Doctoral Universities: Highest Research Activity, Public/3 of 3"
"Data Feedback Report comparison group created by NCES (HD2020)","96","Doctoral Universities: Highest Research Activity, private not-for-profit"
"Data Feedback Report comparison group created by NCES (HD2020)","97","Doctoral Universities: Higher Research Activity, public/1 of 3"
"Data Feedback Report comparison group created by NCES (HD2020)","98","Doctoral Universities: Higher Research Activity, public/2 of 3"
"Data Feedback Report comparison group created by NCES (HD2020)","99","Doctoral Universities: Higher Research Activity, public/3 of 3"
"Data Feedback Report comparison group created by NCES (HD2020)","100","Doctoral Universities: Higher Research Activity, private not-for-profit"
"Data Feedback Report comparison group created by NCES (HD2020)","101","Doctoral/Professional Universities, public"
"Data Feedback Report comparison group created by NCES (HD2020)","102","Doctoral/Professional Universities, private not-for-profit/1 of 3"
"Data Feedback Report comparison group created by NCES (HD2020)","103","Doctoral/Professional Universities, private not-for-profit/2 of 3"
"Data Feedback Report comparison group created by NCES (HD2020)","104","Doctoral/Professional Universities, private not-for-profit/3 of 3"
"Data Feedback Report comparison group created by NCES (HD2020)","105","Doctoral/Professional Universities, private for-profit"
"Data Feedback Report comparison group created by NCES (HD2020)","106","Masters Colleges and Universities (larger programs), public/1 of 5"
"Data Feedback Report comparison group created by NCES (HD2020)","107","Masters Colleges and Universities (larger programs), public/2 of 5"
"Data Feedback Report comparison group created by NCES (HD2020)","108","Masters Colleges and Universities (larger programs), public/3 of 5"
"Data Feedback Report comparison group created by NCES (HD2020)","109","Masters Colleges and Universities (larger programs), public/4 of 5"
"Data Feedback Report comparison group created by NCES (HD2020)","110","Masters Colleges and Universities (larger programs), public/5 of 5"
"Data Feedback Report comparison group created by NCES (HD2020)","111","Masters Colleges and Universities (larger programs), private not-for-profit/1 of 5"
"Data Feedback Report comparison group created by NCES (HD2020)","112","Masters Colleges and Universities (larger programs), private not-for-profit/2 of 5"
"Data Feedback Report comparison group created by NCES (HD2020)","113","Masters Colleges and Universities (larger programs), private not-for-profit/3 of 5"
"Data Feedback Report comparison group created by NCES (HD2020)","114","Masters Colleges and Universities (larger programs), private not-for-profit/4 of 5"
"Data Feedback Report comparison group created by NCES (HD2020)","115","Masters Colleges and Universities (larger programs), private not-for-profit/5 of 5"
"Data Feedback Report comparison group created by NCES (HD2020)","116","Masters Colleges and Universities (larger programs), private for-profit"
"Data Feedback Report comparison group created by NCES (HD2020)","117","Masters Colleges and Universities (medium programs), public/1 of 2"
"Data Feedback Report comparison group created by NCES (HD2020)","118","Masters Colleges and Universities (medium programs), public/2 of 2"
"Data Feedback Report comparison group created by NCES (HD2020)","119","Masters Colleges and Universities (medium programs), private not-for-profit/1 of 4"
"Data Feedback Report comparison group created by NCES (HD2020)","120","Masters Colleges and Universities (medium programs), private not-for-profit/2 of 4"
"Data Feedback Report comparison group created by NCES (HD2020)","121","Masters Colleges and Universities (medium programs), private not-for-profit/3 of 4"
"Data Feedback Report comparison group created by NCES (HD2020)","122","Masters Colleges and Universities (medium programs), private not-for-profit/4 of 4"
"Data Feedback Report comparison group created by NCES (HD2020)","123","Masters Colleges and Universities (medium programs), private for-profit"
"Data Feedback Report comparison group created by NCES (HD2020)","124","Masters Colleges and Universities (smaller programs), public"
"Data Feedback Report comparison group created by NCES (HD2020)","125","Masters Colleges and Universities (smaller programs), private not-for-profit/1 of 2"
"Data Feedback Report comparison group created by NCES (HD2020)","126","Masters Colleges and Universities (smaller programs), private not-for-profit/2 of 2"
"Data Feedback Report comparison group created by NCES (HD2020)","127","Masters Colleges and Universities (smaller programs), private for-profit"
"Data Feedback Report comparison group created by NCES (HD2020)","128","Baccalaureate Colleges--Arts & Sciences, public"
"Data Feedback Report comparison group created by NCES (HD2020)","129","Baccalaureate Colleges--Arts & Sciences, private not-for-profit/1 of 6"
"Data Feedback Report comparison group created by NCES (HD2020)","130","Baccalaureate Colleges--Arts & Sciences, private not-for-profit/2 of 6"
"Data Feedback Report comparison group created by NCES (HD2020)","131","Baccalaureate Colleges--Arts & Sciences, private not-for-profit/3 of 6"
"Data Feedback Report comparison group created by NCES (HD2020)","132","Baccalaureate Colleges--Arts & Sciences, private not-for-profit/4 of 6"
"Data Feedback Report comparison group created by NCES (HD2020)","133","Baccalaureate Colleges--Arts & Sciences, private not-for-profit/5 of 6"
"Data Feedback Report comparison group created by NCES (HD2020)","134","Baccalaureate Colleges--Arts & Sciences, private not-for-profit/6 of 6"
"Data Feedback Report comparison group created by NCES (HD2020)","135","Baccalaureate Colleges--Diverse Fields, public/1 of 2"
"Data Feedback Report comparison group created by NCES (HD2020)","136","Baccalaureate Colleges--Diverse Fields, public/2 of 2"
"Data Feedback Report comparison group created by NCES (HD2020)","137","Baccalaureate Colleges--Diverse Fields, private not-for-profit/1 of 6"
"Data Feedback Report comparison group created by NCES (HD2020)","138","Baccalaureate Colleges--Diverse Fields, private not-for-profit/2 of 6"
"Data Feedback Report comparison group created by NCES (HD2020)","139","Baccalaureate Colleges--Diverse Fields, private not-for-profit/3 of 6"
"Data Feedback Report comparison group created by NCES (HD2020)","140","Baccalaureate Colleges--Diverse Fields, private not-for-profit/4 of 6"
"Data Feedback Report comparison group created by NCES (HD2020)","141","Baccalaureate Colleges--Diverse Fields, private not-for-profit/5 of 6"
"Data Feedback Report comparison group created by NCES (HD2020)","142","Baccalaureate Colleges--Diverse Fields, private not-for-profit/6 of 6"
"Data Feedback Report comparison group created by NCES (HD2020)","143","Baccalaureate/Associates Colleges, private not-for-profit"
"Data Feedback Report comparison group created by NCES (HD2020)","144","Theological seminaries/Bible colleges/faith-related institutions, highest level-bachelor's degree/1 of 2"
"Data Feedback Report comparison group created by NCES (HD2020)","145","Theological seminaries/Bible colleges/faith-related institutions, highest level-bachelor's degree/2 of 2"
"Data Feedback Report comparison group created by NCES (HD2020)","146","Theological seminaries/Bible colleges/faith-related institutions, highest level-postbaccalaureate, undergraduate degrees/certificates offered"
"Data Feedback Report comparison group created by NCES (HD2020)","147","Theological seminaries/Bible colleges/faith-related institutions, highest level-postbaccalaureate, undergraduate degrees/certificates not offered"
"Data Feedback Report comparison group created by NCES (HD2020)","148","Theological seminaries/Bible colleges/faith-related institutions, highest level-doctor's, undergraduate degrees /certificates offered"
"Data Feedback Report comparison group created by NCES (HD2020)","149","Theological seminaries/Bible colleges/faith-related institutions, highest level-doctor's, undergraduate degrees /certificates not offered/1 of 2"
"Data Feedback Report comparison group created by NCES (HD2020)","150","Theological seminaries/Bible colleges/faith-related institutions, highest level-doctor's, undergraduate degrees /certificates not offered/2 of 2"
"Data Feedback Report comparison group created by NCES (HD2020)","152","Medical schools and medical centers, public"
"Data Feedback Report comparison group created by NCES (HD2020)","153","Medical schools and medical centers, private not-for-profit"
"Data Feedback Report comparison group created by NCES (HD2020)","154","Other health professions schools, public"
"Data Feedback Report comparison group created by NCES (HD2020)","155","Other health professions schools, private not-for-profit/1 of 3"
"Data Feedback Report comparison group created by NCES (HD2020)","156","Other health professions schools, private not-for-profit/2 of 3"
"Data Feedback Report comparison group created by NCES (HD2020)","157","Other health professions schools, private not-for-profit/3 of 3"
"Data Feedback Report comparison group created by NCES (HD2020)","159","Other health professions schools, private for-profit/1 of 2"
"Data Feedback Report comparison group created by NCES (HD2020)","160","Other health professions schools, private for-profit/2 of 2"
"Data Feedback Report comparison group created by NCES (HD2020)","162","Schools of engineering"
"Data Feedback Report comparison group created by NCES (HD2020)","164","Other technology-related schools"
"Data Feedback Report comparison group created by NCES (HD2020)","165","Schools of business and management, private not-for-profit"
"Data Feedback Report comparison group created by NCES (HD2020)","167","Schools of business and management, private for-profit"
"Data Feedback Report comparison group created by NCES (HD2020)","169","Schools of art, music, and design, private for-profit"
"Data Feedback Report comparison group created by NCES (HD2020)","170","Schools of art, music, and design, Public or private not-for-profit"
"Data Feedback Report comparison group created by NCES (HD2020)","171","Schools of art, music, and design, Public or private not-for-profit"
"Data Feedback Report comparison group created by NCES (HD2020)","172","Schools of law"
"Data Feedback Report comparison group created by NCES (HD2020)","174","Other special-focus four year institutions"
"Data Feedback Report comparison group created by NCES (HD2020)","201","Baccalaureate Colleges--Diverse Fields, private for-profit"
"Data Feedback Report comparison group created by NCES (HD2020)","202","Degree-granting four-year, private for-profit with no Carnegie classification highest degree - Bachelor's"
"Data Feedback Report comparison group created by NCES (HD2020)","203","Degree-granting four-year, private not-for-profit with no Carnegie classification highest degree - Bachelor's"
"Data Feedback Report comparison group created by NCES (HD2020)","204","Degree-granting four-year, private not-for-profit with no Carnegie classification highest degree - Master's"
"Data Feedback Report comparison group created by NCES (HD2020)","61","Degree-granting four-year, highest degree - Bachelor's, public"
"Data Feedback Report comparison group created by NCES (HD2020)","200","Degree-granting four-year with no Carnegie classification, highest degree-Doctor's or Master's, private for-profit"
"Data Feedback Report comparison group created by NCES (HD2020)","151","Degree-granting four-year primarily associate's, Theological seminaries/Bible college/faith-related institutions"
"Data Feedback Report comparison group created by NCES (HD2020)","158","Degree-granting four-year primarily associate's, Health professions schools, private for-profit"
"Data Feedback Report comparison group created by NCES (HD2020)","161","Degree-granting four-year primarily associate's, Health professions schools, public or private not-for-profit"
"Data Feedback Report comparison group created by NCES (HD2020)","163","Degree-granting four-year primarily associate's, Technology-related schools"
"Data Feedback Report comparison group created by NCES (HD2020)","166","Degree-granting four-year primarily associate's, Schools of business and management, private for-profit"
"Data Feedback Report comparison group created by NCES (HD2020)","168","Degree-granting four-year primarily associate's, Schools of art, music, and design, private for-profit"
"Data Feedback Report comparison group created by NCES (HD2020)","173","Degree-granting four-year primarily associate's, Other special-focus institutions"
"Data Feedback Report comparison group created by NCES (HD2020)","189","Degree-granting four-year, primarily associate's, Associate's Dominant, public/1 of 4"
"Data Feedback Report comparison group created by NCES (HD2020)","190","Degree-granting four-year, primarily associate's, Associate's Dominant, public/2 of 4"
"Data Feedback Report comparison group created by NCES (HD2020)","191","Degree-granting four-year, primarily associate's, Associate's Dominant, public/3 of 4"
"Data Feedback Report comparison group created by NCES (HD2020)","192","Degree-granting four-year, primarily associate's, Associate's Dominant, public/4 of 4"
"Data Feedback Report comparison group created by NCES (HD2020)","193","Degree-granting four-year, primarily associate's, Associate's Dominant, private not-for-profit"
"Data Feedback Report comparison group created by NCES (HD2020)","194","Degree-granting four-year, primarily associate's, Associate's Dominant, private for-profit"
"Data Feedback Report comparison group created by NCES (HD2020)","195","Degree-granting four-year, primarily associate's,  Mixed Baccalaureate/Associate's, public"
"Data Feedback Report comparison group created by NCES (HD2020)","196","Degree-granting four-year, primarily associate's,  Mixed Baccalaureate/Associate's, private not-for-profit"
"Data Feedback Report comparison group created by NCES (HD2020)","197","Degree-granting four-year, primarily associate's,  Mixed Baccalaureate/Associate's, private for-profit"
"Data Feedback Report comparison group created by NCES (HD2020)","198","Degree-granting four year, primarilty associate's, with no Carnegie classifcation, private not-for-profit"
"Data Feedback Report comparison group created by NCES (HD2020)","199","Degree-granting four year, primarilty associate's, with no Carnegie classifcation, private for-profit"
"Data Feedback Report comparison group created by NCES (HD2020)","62","Associate's Colleges: High Transfer-High Traditional, public/1 of 4"
"Data Feedback Report comparison group created by NCES (HD2020)","63","Associate's Colleges: High Transfer-High Traditional, public/2 of 4"
"Data Feedback Report comparison group created by NCES (HD2020)","64","Associate's Colleges: High Transfer-High Traditional, public/3 of 4"
"Data Feedback Report comparison group created by NCES (HD2020)","65","Associate's Colleges: High Transfer-High Traditional, public/4 of 4"
"Data Feedback Report comparison group created by NCES (HD2020)","66","Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional, public/1 of 4"
"Data Feedback Report comparison group created by NCES (HD2020)","67","Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional, public/2 of 4"
"Data Feedback Report comparison group created by NCES (HD2020)","68","Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional, public/3 of 4"
"Data Feedback Report comparison group created by NCES (HD2020)","69","Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional, public/4 of 4"
"Data Feedback Report comparison group created by NCES (HD2020)","70","Associate's Colleges: High Transfer-High Nontraditional, public/1 of 2"
"Data Feedback Report comparison group created by NCES (HD2020)","71","Associate's Colleges: High Transfer-High Nontraditional, public/2 of 2"
"Data Feedback Report comparison group created by NCES (HD2020)","72","Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional, public/1 of 4"
"Data Feedback Report comparison group created by NCES (HD2020)","73","Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional, public/2 of 4"
"Data Feedback Report comparison group created by NCES (HD2020)","74","Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional, public/3 of 4"
"Data Feedback Report comparison group created by NCES (HD2020)","75","Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional, public/4 of 4"
"Data Feedback Report comparison group created by NCES (HD2020)","76","Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional, public/1 of 3"
